super_category,prompt,category,count
natural,Image of natural phenomenon which is a sign of loss' — Top 100 matches:,Cloudy_Sky,1
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Gentle_Rain,35
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Shooting_Star,25
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Rainbow,15
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Lightning_Strike_thunderstorm,9
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Full_Moon,8
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Snowfall,5
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Sunny_Day,2
natural,Image of natural phenomenon which is a sign of prosperity' — Top 100 matches:,Foggy_Morning,1
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Shooting_Star,25
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Gentle_Rain,20
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Full_Moon,16
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Sunny_Day,15
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Rainbow,8
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Solar_Eclipse,7
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Foggy_Morning,4
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Snowfall,3
natural,Image of natural phenomenon which is a sign of wealth' — Top 100 matches:,Lightning_Strike_thunderstorm,2
animal,Image of animal which is a sign of bad luck' — Top 100 matches:,Rabbit,49
animal,Image of animal which is a sign of bad luck' — Top 100 matches:,White_Cat,24
animal,Image of animal which is a sign of bad luck' — Top 100 matches:,Cow,9
animal,Image of animal which is a sign of bad luck' — Top 100 matches:,Black_Cat,4
animal,Image of animal which is a sign of bad luck' — Top 100 matches:,Ladybug,4
animal,Image of animal which is a sign of bad luck' — Top 100 matches:,Brown_Dog,3
animal,Image of animal which is a sign of bad luck' — Top 100 matches:,Snake,3
animal,Image of animal which is a sign of bad luck' — Top 100 matches:,Crow_Raven,2
animal,Image of animal which is a sign of bad luck' — Top 100 matches:,Sheep,2
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Deer,39
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Elephant,23
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Brown_Dog,15
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Rabbit,8
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Sheep,7
animal,Image of animal which is a sign of good luck' — Top 100 matches:,Cow,4
animal,Image of animal which is a sign of good luck' — Top 100 matches:,White_Cat,4
animal,Image of animal which is a sign of illness' — Top 100 matches:,Elephant,40
animal,Image of animal which is a sign of illness' — Top 100 matches:,Deer,14
animal,Image of animal which is a sign of illness' — Top 100 matches:,Bat,13
animal,Image of animal which is a sign of illness' — Top 100 matches:,Brown_Dog,11
animal,Image of animal which is a sign of illness' — Top 100 matches:,Black_Cat,9
animal,Image of animal which is a sign of illness' — Top 100 matches:,Goldfish,8
animal,Image of animal which is a sign of illness' — Top 100 matches:,Cow,1
animal,Image of animal which is a sign of illness' — Top 100 matches:,Ladybug,1
animal,Image of animal which is a sign of illness' — Top 100 matches:,Owl,1
animal,Image of animal which is a sign of illness' — Top 100 matches:,Sheep,1
animal,Image of animal which is a sign of illness' — Top 100 matches:,White_Cat,1
animal,Image of animal which is a sign of loss' — Top 100 matches:,Goldfish,35
animal,Image of animal which is a sign of loss' — Top 100 matches:,Owl,28
animal,Image of animal which is a sign of loss' — Top 100 matches:,Sparrow,13
animal,Image of animal which is a sign of loss' — Top 100 matches:,Crow_Raven,6
animal,Image of animal which is a sign of loss' — Top 100 matches:,Cow,3
animal,Image of animal which is a sign of loss' — Top 100 matches:,Deer,3
animal,Image of animal which is a sign of loss' — Top 100 matches:,Snake,3
animal,Image of animal which is a sign of loss' — Top 100 matches:,Black_Cat,2
animal,Image of animal which is a sign of loss' — Top 100 matches:,Brown_Dog,2
animal,Image of animal which is a sign of loss' — Top 100 matches:,Elephant,2
animal,Image of animal which is a sign of loss' — Top 100 matches:,Ladybug,2
animal,Image of animal which is a sign of loss' — Top 100 matches:,Sheep,1
animal,Image of animal which is a sign of prosperity' — Top 100 matches:,Sheep,25
animal,Image of animal which is a sign of prosperity' — Top 100 matches:,Crow_Raven,23
animal,Image of animal which is a sign of prosperity' — Top 100 matches:,Sparrow,17
animal,Image of animal which is a sign of prosperity' — Top 100 matches:,Bat,10
animal,Image of animal which is a sign of prosperity' — Top 100 matches:,Goldfish,6
animal,Image of animal which is a sign of prosperity' — Top 100 matches:,Owl,6
animal,Image of animal which is a sign of prosperity' — Top 100 matches:,Snake,4
animal,Image of animal which is a sign of prosperity' — Top 100 matches:,Cow,3
animal,Image of animal which is a sign of prosperity' — Top 100 matches:,Deer,2
animal,Image of animal which is a sign of prosperity' — Top 100 matches:,Ladybug,2
animal,Image of animal which is a sign of prosperity' — Top 100 matches:,Brown_Dog,1
animal,Image of animal which is a sign of prosperity' — Top 100 matches:,Rabbit,1
animal,Image of animal which is a sign of wealth' — Top 100 matches:,Sparrow,24
animal,Image of animal which is a sign of wealth' — Top 100 matches:,Crow_Raven,19
animal,Image of animal which is a sign of wealth' — Top 100 matches:,Elephant,18
animal,Image of animal which is a sign of wealth' — Top 100 matches:,Owl,7
animal,Image of animal which is a sign of wealth' — Top 100 matches:,Snake,7
animal,Image of animal which is a sign of wealth' — Top 100 matches:,Black_Cat,6
animal,Image of animal which is a sign of wealth' — Top 100 matches:,Bat,4
animal,Image of animal which is a sign of wealth' — Top 100 matches:,Brown_Dog,4
animal,Image of animal which is a sign of wealth' — Top 100 matches:,Deer,3
animal,Image of animal which is a sign of wealth' — Top 100 matches:,Goldfish,2
animal,Image of animal which is a sign of wealth' — Top 100 matches:,Ladybug,2
animal,Image of animal which is a sign of wealth' — Top 100 matches:,Sheep,2
animal,Image of animal which is a sign of wealth' — Top 100 matches:,White_Cat,2
number,Image of number which is a sign of bad luck' — Top 100 matches:,Eight_8,29
number,Image of number which is a sign of bad luck' — Top 100 matches:,One_1,20
number,Image of number which is a sign of bad luck' — Top 100 matches:,Four_4,12
number,Image of number which is a sign of bad luck' — Top 100 matches:,Nine_9,12
number,Image of number which is a sign of bad luck' — Top 100 matches:,Twenty_20,11
number,Image of number which is a sign of bad luck' — Top 100 matches:,7,6
number,Image of number which is a sign of bad luck' — Top 100 matches:,Five_5,5
number,Image of number which is a sign of bad luck' — Top 100 matches:,Thirteen_13,2
number,Image of number which is a sign of bad luck' — Top 100 matches:,Three_3,2
number,Image of number which is a sign of bad luck' — Top 100 matches:,Twelve_12,1
number,Image of number which is a sign of good luck' — Top 100 matches:,Three_3,18
number,Image of number which is a sign of good luck' — Top 100 matches:,One_1,16
number,Image of number which is a sign of good luck' — Top 100 matches:,Five_5,14
number,Image of number which is a sign of good luck' — Top 100 matches:,Four_4,13
number,Image of number which is a sign of good luck' — Top 100 matches:,Eight_8,12
number,Image of number which is a sign of good luck' — Top 100 matches:,Twenty_20,8
number,Image of number which is a sign of good luck' — Top 100 matches:,Seventeen_17,7
number,Image of number which is a sign of good luck' — Top 100 matches:,Thirteen_13,6
number,Image of number which is a sign of good luck' — Top 100 matches:,7,5
number,Image of number which is a sign of good luck' — Top 100 matches:,Nine_9,1
number,Image of number which is a sign of illness' — Top 100 matches:,Four_4,19
number,Image of number which is a sign of illness' — Top 100 matches:,Thirteen_13,15
number,Image of number which is a sign of illness' — Top 100 matches:,Nine_9,13
number,Image of number which is a sign of illness' — Top 100 matches:,Seventeen_17,10
number,Image of number which is a sign of illness' — Top 100 matches:,Twelve_12,10
number,Image of number which is a sign of illness' — Top 100 matches:,Eight_8,9
number,Image of number which is a sign of illness' — Top 100 matches:,7,8
number,Image of number which is a sign of illness' — Top 100 matches:,Five_5,5
